Date,Team,Block,Plot,Treatment,Seed_Source,Plant_Number,Species_Code,Group_Number,Height_cm,Width_cm,Notes,AliveMissingDead,Number_Flowers,Veg_State,Flowering,DripRow,BufferZone,Survey_Season,PositionID,Replaced
2020-02-29,"S.S, H.W",1,1,exclusion,Xeric,15,ENCCAL,2,69,25,NA,A,NA,NA,Not Flowering,0,0,Spr2020,1015,Not Replaced
2020-02-29,"S.S, H.W",1,1,exclusion,Xeric,17,ARTCAL,3,36,19,NA,A,NA,NA,Not Flowering,0,0,Spr2020,1017,Not Replaced
2020-02-29,"S.S, H.W",1,1,exclusion,Xeric,19,ENCCAL,2,49,9,brown leaves at base,A,NA,NA,Not Flowering,0,0,Spr2020,1019,Not Replaced
2020-02-29,"S.S, H.W",1,1,exclusion,Xeric,20,SALMEL,2,18,12,NA,A,NA,NA,Not Flowering,0,0,Spr2020,1020,Not Replaced
2020-02-29,"S.S, H.W",1,1,exclusion,Xeric,21,ERIFAS,2,24,32,NA,A,NA,NA,Not Flowering,0,0,Spr2020,1021,Not Replaced
2020-02-29,"S.S, H.W",1,1,exclusion,Xeric,22,ARTCAL,2,13,13,NA,A,NA,NA,Not Flowering,0,0,Spr2020,1022,Not Replaced
2020-02-29,"S.S, H.W",1,1,exclusion,Xeric,28,ERIFAS,2,18,15.5,NA,A,NA,NA,Not Flowering,0,0,Spr2020,1028,Not Replaced
2020-02-29,"S.S, H.W",1,1,exclusion,Xeric,29,SALMEL,3,46,16,NA,A,NA,NA,Not Flowering,0,0,Spr2020,1029,Not Replaced
2020-02-29,"S.S, H.W",1,1,exclusion,Xeric,30,ENCCAL,3,33,8,NA,A,NA,NA,Not Flowering,0,0,Spr2020,1030,Not Replaced
2020-02-29,"S.S, H.W",1,1,exclusion,Xeric,31,ERIFAS,2,25,35,NA,A,NA,NA,Not Flowering,0,0,Spr2020,1031,Not Replaced
2020-02-29,"S.S, H.W",1,1,exclusion,Xeric,32,ARTCAL,2,17,13,NA,A,NA,NA,Not Flowering,0,0,Spr2020,1032,Not Replaced
2020-02-29,"S.S, H.W",1,1,exclusion,Xeric,33,ENCCAL,2,59,27,NA,A,NA,NA,Not Flowering,0,0,Spr2020,1033,Not Replaced
2020-02-29,"S.S, H.W",1,1,exclusion,Xeric,39,ENCCAL,1,46,13,NA,A,NA,NA,Not Flowering,0,0,Spr2020,1039,Not Replaced
2020-02-29,"S.S, H.W",1,1,exclusion,Xeric,40,SALMEL,1,7,8.5,NA,A,NA,NA,Not Flowering,0,0,Spr2020,1040,Not Replaced
2020-02-29,"S.S, H.W",1,1,exclusion,Xeric,41,ERIFAS,4,28,15,NA,A,NA,NA,Not Flowering,0,0,Spr2020,1041,Not Replaced
2020-02-29,"S.S, H.W",1,1,exclusion,Xeric,42,ARTCAL,1,17,17,NA,A,NA,NA,Not Flowering,0,0,Spr2020,1042,Not Replaced
2020-02-29,"S.S, H.W",1,1,exclusion,Xeric,43,SALMEL,1,8,9.5,NA,A,NA,NA,Not Flowering,0,0,Spr2020,1043,Not Replaced
2020-02-29,"S.S, H.W",1,1,exclusion,Xeric,44,ENCCAL,4,39,10,NA,A,NA,NA,Not Flowering,0,0,Spr2020,1044,Not Replaced
2020-02-29,"S.S, H.W",1,1,exclusion,Xeric,45,ARTCAL,1,22,24,NA,A,NA,NA,Not Flowering,0,0,Spr2020,1045,Not Replaced
2020-02-29,"S.S, H.W",1,1,exclusion,Xeric,46,ERIFAS,1,10,21,NA,A,NA,NA,Not Flowering,0,0,Spr2020,1046,Not Replaced
2020-02-29,"S.S, H.W",1,1,exclusion,Xeric,51,ARTCAL,1,26,21,NA,A,NA,NA,Not Flowering,0,0,Spr2020,1051,Not Replaced
2020-02-29,"S.S, H.W",1,1,exclusion,Xeric,53,SALMEL,1,18,7.5,NA,A,NA,NA,Not Flowering,0,0,Spr2020,1053,Not Replaced
2020-02-29,"S.S, H.W",1,1,exclusion,Xeric,54,ENCCAL,4,32,12,NA,A,NA,NA,Not Flowering,0,0,Spr2020,1054,Not Replaced
2020-02-29,"S.S, H.W",1,1,exclusion,Xeric,55,ERIFAS,4,25,20,NA,A,NA,NA,Not Flowering,0,0,Spr2020,1055,Not Replaced
2020-02-29,"S.S, H.W",1,1,exclusion,Xeric,56,ARTCAL,4,23,25,NA,A,NA,NA,Not Flowering,0,0,Spr2020,1056,Not Replaced
2020-02-29,"S.S, H.W",1,1,exclusion,Xeric,58,ENCCAL,3,72,30,NA,A,NA,NA,Not Flowering,0,0,Spr2020,1058,Not Replaced
2020-02-29,"S.K, T.D",1,2,ambient,Mesic,22,ENCCAL,3,38,14,NA,A,NA,NA,Not Flowering,0,0,Spr2020,1094,Not Replaced
2020-02-29,"S.K, T.D",1,2,ambient,Mesic,32,ENCCAL,4,51,14,NA,A,NA,NA,Not Flowering,0,0,Spr2020,1104,Not Replaced
2020-02-29,"S.K, T.D",1,2,ambient,Mesic,34,SALMEL,3,9.5,9,NA,A,NA,NA,Not Flowering,0,0,Spr2020,1106,Not Replaced
2020-02-29,"S.K, T.D",1,2,ambient,Mesic,43,ERIFAS,4,6,5,NA,A,NA,NA,Not Flowering,0,0,Spr2020,1115,Not Replaced
2020-02-29,"S.K, T.D",1,2,ambient,Mesic,44,SALMEL,4,13,12,NA,A,NA,NA,Not Flowering,0,0,Spr2020,1116,Not Replaced
